,time,instructions,L1-dcache-load-misses,branch-misses,L2-misses,iTLB-load-misses,dTLB-store-misses,branch-load-misses,L1-icache-load-misses,cycles,dTLB-load-misses,cpi
839,336.179295122,1.0,0.03766845474852035,0.004683158836628524,0.007560222233608756,1.3293720840058782e-05,0.0005354147609427624,0.004662895021661007,0.00101440401752412,1.190218537669655,0.004721915537645283,1.190218537669655
840,336.579486419,1.0,0.03748087118455944,0.0046840968277781295,0.0075239647581397074,1.356579804186655e-05,0.0005348886353309345,0.004711074029169642,0.001009859045784435,1.1927414284652924,0.004710705052023828,1.1927414284652924
841,336.979664692,1.0,0.037072602497465454,0.004674067288735774,0.007478801120100467,1.377376715157342e-05,0.0005324362410591946,0.004729863425149782,0.000997076097672324,1.1880968993771124,0.0046462135259292565,1.1880968993771124
842,337.379844992,1.0,0.03748608462162771,0.0046849201851289,0.00747563910479043,1.239343164936942e-05,0.0005296861327190224,0.004661387891620142,0.0010202177149179431,1.1863037452557414,0.004706476921644719,1.1863037452557414
843,337.780025256,1.0,0.037367761322340716,0.0046787363621066174,0.007488973261069383,1.2505130565960099e-05,0.0005344151844294452,0.004702799422788293,0.001023035116278881,1.1877998593799501,0.0047401636793386786,1.1877998593799501
844,338.180221971,1.0,0.03743417328021071,0.004734720937685917,0.0074701681644076786,1.3066128818467176e-05,0.0005372699880049477,0.004732940682550422,0.0010822758269337213,1.1948725542550482,0.004729495534909715,1.1948725542550482
845,338.580404867,1.0,0.03725310557348999,0.0046776662681156135,0.0074945290458135186,1.5189160924300137e-05,0.0005325473713321089,0.004692998404198366,0.0010106199075197422,1.1846900118091113,0.004653095337248511,1.1846900118091113
846,338.980588602,1.0,0.03751113191824413,0.004690252715468245,0.007441677872081589,1.658627079947502e-05,0.000520715020998451,0.004674421132308931,0.0010135675448764015,1.1827851597200627,0.004638026256026478,1.1827851597200627
847,339.380817929,1.0,0.03762720794622019,0.004695817557108774,0.00745617987465194,1.3030532963926432e-05,0.0005396104080151257,0.004656185293773249,0.001011376526059184,1.1850356423676884,0.004718580050060121,1.1850356423676884
848,339.781008888,1.0,0.0375345863295303,0.004684168838830655,0.007502074021122656,9.65258424522413e-06,0.0005368738146455064,0.004718040255094563,0.0010185615022073003,1.1888405031260745,0.004717512114508328,1.1888405031260745
849,340.181203527,1.0,0.03747254551061486,0.004724710736424997,0.007489969894795025,1.1781758973895934e-05,0.0005385224370403983,0.004732594071091548,0.001074776580811548,1.1943910309718542,0.004721526477242863,1.1943910309718542
850,340.581396777,1.0,0.03750778894337944,0.004690466769951568,0.007473098720835002,1.1213558741392776e-05,0.0005295139470573591,0.004746320673959348,0.0010978566997496037,1.1891189661836499,0.004709097345273828,1.1891189661836499
851,340.981608183,1.0,0.037756205052393625,0.004720154209798499,0.007492352456409057,1.240044746510504e-05,0.0005335182049439012,0.004647001141845581,0.001081705311843193,1.1949816659705483,0.004743538959728993,1.1949816659705483
852,341.381797981,1.0,0.03749356531471174,0.0046720129074986835,0.007439155429624622,1.041554619706356e-05,0.0005380639532427281,0.004654901282622527,0.0010006378841418148,1.1819583876760416,0.004696034522570303,1.1819583876760416
